,experiment_num,selected_features,pnum
124,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
125,8,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
126,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
127,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
128,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
129,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
130,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
131,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
132,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
133,9,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
134,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
135,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
136,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
137,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
138,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
139,9,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
